failure_id,failure_reason,category_id
"1","NORMAL_UNSPECIFIED","4"
"2","NO_ANSWER","1"
"3","USER BUSY","1"
"4","None","4"
"5","UNALLOCATED_NUMBER","4"
"6","NO_USER_RESPONSE","1"
"7","SUBSCRIBER_ABSENT","4"
"8","INVALID_NUMBER_FORMAT","4"
"9","NORMAL_TEMPORARY_FAILURE","4"
"10","CALL_REJECTED","1"
"11","NO_ROUTE_DESTINATION","4"
"12","Unknown","4"
"13","PROGRESS_TIMEOUT","4"
"14","INTERWORKING","4"
"15","No_answer_user_not_responding","1"
"16","No_answer_from_user","1"
"17","Number_not_in_service","4"
"18","Line_congestion_temporary","4"
"19","Normal_completion_user_disconnected","1"
"20","Unassigned_or_unallocated_number","4"
"21","Normal_completion_unspecified_cause","4"
"22","Busy","1"
"23","OBD_timeout","4"
"24","No_channel_available","4"
"25","UNKNOWN ERROR","4"
"26","DND numbers","4"
"27","Resource_unavailable","4"
"28","Network_error_IN","4"
"29","Line_congestion_NW_problem","4"
"30","NW_time_out","4"
"31","Switch_congestion","4"
"32","Network_error_PR","4"
"33","Internal Error","4"
"34","User opt-out the Service","4"
"35",,"4"
"36","NORMAL_CIRCUIT_CONGESTION","4"
"37","DESTINATION_OUT_OF_ORDER","4"
"38","INCOMPATIBLE_DESTINATION","4"
"39","invalid numbers","4"
"40","App_initiated_drop","4"
"41","RECOVERY_ON_TIMER_EXPIRE","4"
"42","NETWORK_OUT_OF_ORDER","4"
"43","PROTOCOL_ERROR","4"
"44","ORIGINATOR_CANCEL","4"
"45","media menu path not foundmamahindi1w302","4"
"46","NUMBER_CHANGED","4"
"47","Service error occurred: INT-10064 : DVP Not Reachable","4"
"48","App_initiated_reject","4"
"49","FACILITY_REJECTED","4"
"50","FREESWITCH_TIMEOUT","4"
"51","","4"
"52","NORMAL_CLEARING","4"
