,Unnamed: 0,user_id,whittle_index,cluster,start_state,lstm_prediction,gold_e2c,gold_label,registration_date,current_E2C
0,8497,2394384,0.865692138671875,29,NE,high_engagement,0.2,low_engagement,1144.0,0.4736842105263158
128,1405,2387061,0.865692138671875,29,NE,low_engagement,0.7272727272727273,high_engagement,1131.0,0.5789473684210527
99,9481,2395391,0.865692138671875,29,NE,low_engagement,0.14285714285714285,low_engagement,1151.0,0.26666666666666666
102,9497,2395407,0.865692138671875,29,NE,low_engagement,,low_engagement,1152.0,
103,19681,2405773,0.865692138671875,29,NE,low_engagement,,low_engagement,1164.0,
105,16256,2402309,0.865692138671875,29,NE,low_engagement,1.0,high_engagement,1160.0,0.42857142857142855
109,9706,2395620,0.865692138671875,29,NE,low_engagement,,low_engagement,1151.0,0.0
113,9758,2395676,0.865692138671875,29,NE,high_engagement,0.25,low_engagement,1151.0,0.5882352941176471
114,9760,2395679,0.865692138671875,29,NE,high_engagement,0.42857142857142855,low_engagement,1152.0,0.7647058823529411
118,4170,2389920,0.865692138671875,29,NE,low_engagement,0.0,low_engagement,1146.0,0.08333333333333333
120,4205,2389955,0.865692138671875,29,NE,low_engagement,0.375,low_engagement,1146.0,0.2
124,10918,2396869,0.865692138671875,29,NE,low_engagement,0.5,high_engagement,1153.0,0.3
125,7806,2393680,0.865692138671875,29,NE,low_engagement,0.2,low_engagement,1150.0,0.3333333333333333
127,13853,2399851,0.865692138671875,29,NE,low_engagement,,low_engagement,1156.0,0.0
129,18902,2404988,0.865692138671875,29,NE,high_engagement,,low_engagement,1148.0,
96,16179,2402232,0.865692138671875,29,NE,high_engagement,,low_engagement,1146.0,
133,1297,2386948,0.865692138671875,29,NE,low_engagement,0.2222222222222222,low_engagement,1124.0,0.1875
135,22985,2409119,0.865692138671875,29,NE,low_engagement,0.0,low_engagement,1169.0,0.3333333333333333
136,6976,2392826,0.865692138671875,29,NE,low_engagement,0.0,low_engagement,1144.0,0.16666666666666666
